               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.059437,             0.03262,                   0,             0.56234,             0.89944,             0.63143,             0.21375,            0.054027,            0.019731,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.054481,            0.032203,                   0,             0.56234,             0.89944,             0.63143,             0.21375,            0.054027,            0.019731,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.060101,            0.024888,                   0,             0.56234,             0.89944,             0.63143,             0.21375,            0.054027,            0.019731,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.058054,            0.027238,                   0,             0.30215,             0.69305,             0.29687,            0.092186,            0.063035,            0.018575,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.061289,            0.030029,                   0,             0.30215,             0.69305,             0.29687,            0.092186,            0.063035,            0.018575,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.061032,            0.030673,                   0,             0.30215,             0.69305,             0.29687,            0.092186,            0.063035,            0.018575,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.061794,            0.029185,                   0,             0.30215,             0.69305,             0.29687,            0.092186,            0.063035,            0.018575,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.063649,            0.029657,                   0,             0.38037,                 0.8,             0.33953,             0.11553,            0.063564,            0.018084,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.062592,            0.029224,                   0,             0.38037,                 0.8,             0.33953,             0.11553,            0.063564,            0.018084,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.062627,            0.024192,                   0,             0.38037,                 0.8,             0.33953,             0.11553,            0.063564,            0.018084,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.062035,            0.030273,                   0,             0.47276,                 0.9,              0.4471,             0.12996,            0.057799,            0.017949,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.059644,            0.023848,                   0,             0.47276,                 0.9,              0.4471,             0.12996,            0.057799,            0.017949,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.059937,            0.027523,                   0,             0.47276,                 0.9,              0.4471,             0.12996,            0.057799,            0.017949,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.055665,            0.028694,                   0,             0.66492,                 0.8,             0.60993,             0.31576,            0.053933,            0.017906,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.052188,            0.029383,                   0,             0.66492,                 0.8,             0.60993,             0.31576,            0.053933,            0.017906,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.055388,            0.035241,                   0,             0.66492,                 0.8,             0.60993,             0.31576,            0.053933,            0.017906,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.053835,            0.026362,                   0,                   1,             0.79768,             0.84199,             0.36665,            0.052353,            0.017382,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.049724,            0.022567,                   0,                   1,             0.79768,             0.84199,             0.36665,            0.052353,            0.017382,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.049851,            0.024611,                   0,                   1,             0.79768,             0.84199,             0.36665,            0.052353,            0.017382,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.052094,            0.030787,                   0,             0.72718,                 0.8,             0.70512,             0.38835,            0.053226,            0.017098,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.052564,            0.026334,                   0,             0.72718,                 0.8,             0.70512,             0.38835,            0.053226,            0.017098,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.052008,            0.023914,                   0,             0.72718,                 0.8,             0.70512,             0.38835,            0.053226,            0.017098,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.052092,            0.026301,                   0,             0.72718,                 0.8,             0.70512,             0.38835,            0.053226,            0.017098,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.055905,            0.028493,                   0,             0.77776,                 0.7,             0.69817,             0.39352,            0.052895,            0.017154,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.049697,             0.02527,                   0,             0.77776,                 0.7,             0.69817,             0.39352,            0.052895,            0.017154,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.055381,            0.019464,                   0,             0.77776,                 0.7,             0.69817,             0.39352,            0.052895,            0.017154,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.050668,            0.024999,                   0,             0.79972,             0.79874,             0.72718,             0.35768,            0.050855,            0.017317,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.045491,            0.022045,                   0,             0.79972,             0.79874,             0.72718,             0.35768,            0.050855,            0.017317,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.050722,            0.023485,                   0,             0.79972,             0.79874,             0.72718,             0.35768,            0.050855,            0.017317,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.050178,            0.026254,                   0,             0.79971,                 0.8,             0.74992,             0.36771,            0.051075,            0.017493,                   0,            0.006106,            0.006106,            0.006106
