               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.030822,            0.014223,                   0,             0.97777,              0.8797,             0.96871,             0.59135,             0.03724,           0.0071328,                   0,           0.0021094,           0.0021094,            0.031109
                  72,            0.035542,            0.013337,                   0,             0.81597,             0.79816,             0.87429,             0.50508,            0.033456,           0.0069666,                   0,           0.0020678,           0.0020678,            0.030068
                  73,            0.034006,            0.014289,                   0,             0.83005,             0.87914,             0.93632,              0.6039,            0.029362,           0.0062678,                   0,           0.0020243,           0.0020243,            0.029024
                  74,            0.033936,            0.013281,                   0,             0.80317,                0.98,             0.93499,             0.54594,            0.028942,           0.0060845,                   0,           0.0019788,           0.0019788,            0.027979
                  75,            0.030945,            0.014859,                   0,             0.90327,                0.94,             0.93864,             0.68293,            0.028963,           0.0058138,                   0,           0.0019313,           0.0019313,            0.026931
                  76,            0.032042,             0.01375,                   0,             0.78105,                   1,             0.90043,             0.45588,            0.036669,           0.0059773,                   0,           0.0018818,           0.0018818,            0.025882
                  77,            0.037582,            0.013213,                   0,             0.87564,                   1,             0.92176,             0.61757,            0.028355,           0.0056019,                   0,           0.0018303,           0.0018303,             0.02483
                  78,            0.030922,            0.014698,                   0,             0.63226,                   1,             0.82127,             0.46198,            0.029719,           0.0056657,                   0,           0.0017768,           0.0017768,            0.023777
                  79,            0.033979,            0.012434,                   0,             0.85401,                0.94,             0.94397,             0.68523,            0.028905,           0.0052346,                   0,           0.0017214,           0.0017214,            0.022721
                  80,            0.031612,            0.012489,                   0,             0.81966,             0.99989,             0.90793,             0.64812,            0.025147,           0.0051638,                   0,            0.001664,            0.001664,            0.021664
                  81,            0.029064,             0.01143,                   0,             0.94339,             0.99985,             0.96793,             0.63718,            0.028311,           0.0051122,                   0,           0.0016046,           0.0016046,            0.020605
                  82,            0.026924,            0.011198,                   0,             0.76505,                0.98,             0.85958,             0.56878,            0.026297,           0.0050374,                   0,           0.0015432,           0.0015432,            0.019543
                  83,             0.02756,            0.012555,                   0,             0.94328,                   1,             0.98025,             0.67282,            0.021778,           0.0049236,                   0,           0.0014799,           0.0014799,             0.01848
                  84,            0.028355,            0.014434,                   0,             0.83012,                0.98,             0.93049,             0.69223,            0.027293,           0.0049143,                   0,           0.0014146,           0.0014146,            0.017415
                  85,            0.032395,            0.013608,                   0,             0.98035,                   1,             0.99147,             0.66187,            0.022996,           0.0048828,                   0,           0.0013473,           0.0013473,            0.016347
                  86,            0.028291,            0.013688,                   0,             0.98035,                   1,             0.99461,             0.79521,            0.020859,           0.0047368,                   0,            0.001278,            0.001278,            0.015278
                  87,            0.028426,            0.013212,                   0,             0.98039,                   1,             0.99382,             0.74786,            0.018531,           0.0046521,                   0,           0.0012067,           0.0012067,            0.014207
                  88,            0.023521,            0.013205,                   0,             0.95939,                0.96,             0.98424,             0.76517,              0.0223,           0.0048089,                   0,           0.0011334,           0.0011334,            0.013133
                  89,            0.028215,            0.012928,                   0,             0.98029,                   1,             0.99382,               0.736,            0.020858,           0.0046535,                   0,           0.0010582,           0.0010582,            0.012058
                  90,            0.027862,            0.010879,                   0,             0.99994,                   1,               0.995,             0.80243,            0.019541,           0.0045185,                   0,            0.000981,            0.000981,            0.010981
                  91,            0.020147,            0.010875,                   0,             0.99991,                   1,               0.995,             0.78885,            0.020451,           0.0044241,                   0,          0.00090181,          0.00090181,           0.0099018
                  92,            0.022796,            0.010215,                   0,             0.99993,                   1,               0.995,             0.80544,            0.019272,           0.0043657,                   0,          0.00082064,          0.00082064,           0.0088206
                  93,            0.021359,            0.011346,                   0,             0.99992,                   1,               0.995,             0.78119,            0.018639,           0.0042525,                   0,          0.00073749,          0.00073749,           0.0077375
                  94,            0.023419,            0.011045,                   0,             0.99991,                   1,               0.995,             0.80186,            0.018286,           0.0041986,                   0,          0.00065236,          0.00065236,           0.0066524
                  95,            0.023477,            0.013001,                   0,             0.99989,                   1,               0.995,             0.80346,            0.017846,           0.0041492,                   0,          0.00056525,          0.00056525,           0.0055653
                  96,            0.021514,            0.011602,                   0,             0.99997,                   1,               0.995,             0.80815,            0.017341,           0.0041049,                   0,          0.00047616,          0.00047616,           0.0044762
                  97,            0.021997,            0.010063,                   0,             0.99987,                   1,               0.995,             0.81136,            0.016492,           0.0040867,                   0,          0.00038509,          0.00038509,           0.0033851
                  98,            0.023286,            0.011638,                   0,             0.99996,                   1,               0.995,             0.82008,            0.016188,             0.00407,                   0,          0.00029204,          0.00029204,            0.002292
                  99,            0.021555,             0.01209,                   0,                   1,              0.9999,               0.995,             0.82605,            0.016012,            0.004058,                   0,          0.00019701,          0.00019701,            0.001197
